,FORMULATING_UNIT,INVESTMENT_EXECUTING_UNIT,UBIGEO,PROVINCE,FUNCTION,TYPE_OF_INVESTMENT,INVESTMENT_NAME,UPDATED_COST,ACCUMULATED_EARNINGS_AS_OF_2021,PIM_2022,AMOUNT_YEAR_2022,AMOUNT_YEAR_2023,AMOUNT_YEAR_2024,AMOUNT_YEAR_2025
317,GOBIERNO REGIONAL LIMA,SIN UEI,150000,SIN PROVINCIA,AMBIENTE,PROYECTO DE INVERSION,RECUPERACION DE LOS ECOSISTEMAS DEGRADADOS DEL HUMEDAL LAGUNAS EL PARAÍSO DEL  DISTRITO DE HUACHO - PROVINCIA DE HUAURA - DEPARTAMENTO DE LIMA,3181468.0,0.0,0.0,0.0,0.0,100000.0,3081468.0
318,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE RECURSOS NATURALES Y GESTION DEL MEDIO AMBIENTE,150700,HUAROCHIRI,AMBIENTE,INVERSIONES IOARR,REPARACION DE INFRAESTRUCTURA HIDRICA EN AMUNA; CONSTRUCCION DE OBRA DE CONTROL DE CARCAVAS; EN EL(LA) ECOSISTEMA PAJONAL DE PUNA HUMEDA (PJPH) Y MATORRAL ANDINO (MA) EN EL  DISTRITO DE SAN ANDRES DE TUPICOCHA,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
319,GOBIERNO REGIONAL LIMA,SIN UEI,150000,SIN PROVINCIA,TURISMO,PROYECTO DE INVERSION,MEJORAMIENTO DE LOS SERVICIOS TURISTICOS EN LA CORDILLERA DE HUAYHUASH EN LOS DISTRITOS DE COPA Y CAJATAMBO DE LA PROVINCIA DE CAJATAMBO - DEPARTAMENTO DE LIMA,19431186.0,0.0,0.0,0.0,0.0,300000.0,2000000.0
322,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE INFRAESTRUCTURA,150600,HUARAL,TRANSPORTE,PROYECTO DE INVERSION,MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD VEHICULAR Y PEATONAL DEL CENTRO POBLADO DE RAUMA DEL DISTRITO DE SUMBILCA - PROVINCIA DE HUARAL - DEPARTAMENTO DE LIMA,1493433.0,0.0,50000.0,50000.0,0.0,100000.0,1343434.0
323,MUNICIPALIDAD DISTRITAL DE SUPE,DIRECCION REGIONAL DE AGRICULTURA,150200,BARRANCA,AGROPECUARIA,PROYECTO DE INVERSION,CREACION DEL RESERVORIO DE RIEGO DE USO AGRICOLA EL PARRAL DEL COMITE DE RIEGO VENTUROSA BAJA-COMISION DE REGANTES DE PULANCACHE,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
324,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE DESARROLLO ECONOMICO,150500,CAÑETE,AGROPECUARIA,PROYECTO DE INVERSION,MEJORAMIENTO DEL SISTEMA DE RIEGO  CALLANGA,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
325,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE RECURSOS NATURALES Y GESTION DEL MEDIO AMBIENTE,150900,OYON,ORDEN PUBLICO Y SEGURIDAD,INVERSIONES IOARR,ADQUISICION DE CAMIONETA Y MOTOCICLETA; EN EL(LA) MUNICIPALIDAD DISTRITAL DE COCHAMARCA  DISTRITO DE COCHAMARCA,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
326,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE DESARROLLO ECONOMICO,150300,CAJATAMBO,AGROPECUARIA,PROYECTO DE INVERSION,MEJORAMIENTO DEL SISTEMA DE RIEGO IGUSRAGRA ,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
327,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE RECURSOS NATURALES Y GESTION DEL MEDIO AMBIENTE,151000,YAUYOS,ORDEN PUBLICO Y SEGURIDAD,INVERSIONES IOARR,ADQUISICION DE CAMIONETA Y MOTOCICLETA; EN EL(LA) MUNICIPALIDAD DISTRITAL DE VITIS  DISTRITO DE VITIS,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
328,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE DESARROLLO ECONOMICO,150400,CANTA,AGROPECUARIA,PROYECTO DE INVERSION,MEJORAMIENTO DEL SISTEMA DE RIEGO  KINSAPUQUIO,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
329,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE DESARROLLO ECONOMICO,150800,HUAURA,AGROPECUARIA,PROYECTO DE INVERSION,MEJORAMIENTO DEL SISTEMA DE RIEGO CONTOC EN LA COMUNIDAD CAMPESINA DE AYARANGA  DISTRITO DE PACCHO - PROVINCIA DE HUAURA - DEPARTAMENTO DE LIMA,87449.0,0.0,87449.0,87449.0,0.0,0.0,0.0
330,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE DESARROLLO ECONOMICO,150600,HUARAL,AGROPECUARIA,PROYECTO DE INVERSION,MEJORAMIENTO SISTEMA DE RIEGO DEL CANAL  PULLULLE - RANCATAMAS  DISTRITO DE ATAVILLOS ALTO - PROVINCIA DE HUARAL - DEPARTAMENTO DE LIMA,100068.0,0.0,100068.0,100068.0,0.0,0.0,0.0
